company,address,longitude,latitude,latlong,longlat,zipcode,town,state,date_founded,date_closed,company_type,source,name_changed,year_name_changed,notes,see also
Cornell-Dubiliar,"553 Cowper, Palo Alto, CA",-122.1585217,37.44799855,"-122.1585216915, 37.4479985456265","37.4479985456265, -122.1585216915",,Palo Alto,California,,,,,,,,
Corning A.C.I.,490 San Antonio Road,-122.104899,37.413212,"-122.104899, 37.413212","37.413212, -122.104899",94303,Palo Alto,California,,,,Rich's Complete Guide to Silicon Valley,,,,
CPS INC.,110 WOLFE RD .,-122.013809,37.375565,"-122.013809, 37.375565","37.375565, -122.013809",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Craftronics,"920 Schulman Ave, Santa Clara, CA",,,", ",", ",,Santa Clara,California,,,,1962 San Jose City Directory,,,,
Crystal Key Punch Center,"26 S. White Road, San Jose, CA",-121.827408,37.36530366,"-121.827408023693, 37.3653036614737","37.3653036614737, -121.827408023693",,San Jose,California,,,,1976 San Jose City Directory,,,,
CTS Printex Inc.,1950 Colony St  ,-122.088975,37.41583861,"-122.088975018765, 37.4158386083038","37.4158386083038, -122.088975018765",,,California,,,,,,,,
Curwick International,"1565 The Alameda, San Jose, CA",-121.9161991,37.33491869,"-121.916199076932, 37.3349186861851","37.3349186861851, -121.916199076932",,San Jose,California,,,,1977 San Jose City Directory,,,,
Cushman Electronics Inc,"166 San Lazaro Ave, Sunnyvale, CA",-122.011849,37.37685648,"-122.011849034483, 37.3768564827586","37.3768564827586, -122.011849034483",,Sunnyvale,California,,,,1964 Sunnyvale City Directory,,,,
Custom Electronics,"460 Park Ave, San Jose, CA",-121.898011,37.327935,"-121.898011, 37.327935","37.327935, -121.898011",,San Jose,California,,,,1960 San Jose City Directory,,,,
Custom Electronics Co,"460 Park Ave, San Jose, CA",-121.898011,37.327935,"-121.898011, 37.327935","37.327935, -121.898011",,San Jose,California,,,,1962 San Jose City Directory,,,,
D.M.C.,2300 OWEN ST.,-121.966473,37.376075,"-121.966473, 37.376075","37.376075, -121.966473",95051,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Dahl Electronics Associates,"986 Harmon, San Jose, CA",-121.9126292,37.31889444,"-121.912629187986, 37.3188944380996","37.3188944380996, -121.912629187986",,San Jose,California,,,,1964 San Jose City Directory,,,,
Data Composition,"100 N. Winchester Blvd, San Jose, CA",-121.9503018,37.32722769,"-121.950301846154, 37.3272276923077","37.3272276923077, -121.950301846154",,San Jose,California,,,,1976 San Jose City Directory,,,,
Data Control Systems Inc,"501 Washington, Santa Clara, CA",-121.5391548,36.84143825,"-121.539154761744, 36.84143825","36.84143825, -121.539154761744",,Santa Clara,California,,,,1963 San Jose City Directory,,,,
Data Control Systems Inc,"535 Middlefield Road, Palo Alto, CA",-122.1362592,37.4377862,"-122.1362592, 37.4377862","37.4377862, -122.1362592",,Palo Alto,California,,,,,,,,
Data Dynamics Inc,"363 S. Taaffe Street, Sunnyvale, CA",-122.0328321,37.3746235,"-122.0328321, 37.3746235","37.3746235, -122.0328321",,Sunnyvale,California,,,,1968 Sunnyvale City Directory,,,,
Data Processing Center,"418 Park Ave, San Jose, CA",-121.8970612,37.32841204,"-121.897061200849, 37.3284120395522","37.3284120395522, -121.897061200849",,San Jose,California,,,,1970 San Jose City Directory,,,,
Data Processing Machines,"588 Emory St, San Jose, CA",-121.9139266,37.34349176,"-121.913926641524, 37.3434917589563","37.3434917589563, -121.913926641524",,San Jose,California,,,,1977 San Jose City Directory,,,,
DATA PRODUCTS,2550 ZANKER RD.,-121.923462,37.387611,"-121.923462, 37.387611","37.387611, -121.923462",95131,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Data Quantics Inc,"1743 Rogers Ave, San Jose, CA",-121.910166,37.37766852,"-121.910166034141, 37.3776685164805","37.3776685164805, -121.910166034141",,San Jose,California,,,,1976 San Jose City Directory,,,,
DATA QUEST INC.,10340 BUBB RD.,-122.049522,37.317594,"-122.049522, 37.317594","37.317594, -122.049522",95014,Cupertino,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Data Search Inc,"888 N. 1st Street, San Jose, CA",-121.9031396,37.35310513,"-121.903139625211, 37.3531051268432","37.3531051268432, -121.903139625211",,San Jose,California,,,,1976 San Jose City Directory,,,,
Data System of California,"954 Chestnut St, San Jose, CA",-121.9175719,37.34659343,"-121.917571906206, 37.3465934281694","37.3465934281694, -121.917571906206",,San Jose,California,,,,1979 San Jose City Directory,,,,
DATAPOINT PERIP…AL PRODUCT INC.,810 W. MAUDE AVE .,-122.034615,37.391009,"-122.034615, 37.391009","37.391009, -122.034615",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Dealer Electronics Corp,"1364 N. 10th, San Jose, CA",,,", ",", ",,San Jose,California,,,,1962 San Jose City Directory,,,,
Decco Electronics,"674 N. Fair Oaks Ave, Sunnyvale, CA",-122.01417,37.390888,"-122.01417, 37.390888","37.390888, -122.01417",,Sunnyvale,California,,,,1964 Sunnyvale City Directory,,,,
Delcon Corp,"943 Industrial, Palo Alto, CA",-122.0990143,37.423557,"-122.0990143, 37.423557","37.423557, -122.0990143",,Palo Alto,California,,,,,,,,
Delta Data Processing,"4250 Williams, San Jose, CA",-121.9785401,37.30813493,"-121.978540090685, 37.3081349253969","37.3081349253969, -121.978540090685",,San Jose,California,,,,1969 San Jose City Directory,,,,
Delta Electric,"271 Bestor, San Jose, CA",-121.8734335,37.32410165,"-121.87343346401, 37.3241016459225","37.3241016459225, -121.87343346401",,San Jose,California,,,,1959 San Jose City Directory,,,,
Den-Tech Inc,"665 S. Knickerbocker Drive, Sunnyvale, CA",-122.0591417,37.37239907,"-122.059141698143, 37.3723990738137","37.3723990738137, -122.059141698143",,Sunnyvale,California,,,,1966 Sunnyvale City Directory,,,,
Dentsch,"549 Stockton Ave, San Jose, CA",-121.910859,37.338187,"-121.910859, 37.338187","37.338187, -121.910859",,San Jose,California,,,,1965 San Jose City Directory,,,,
Design Data Systems Inc,"4300 Stevens Creek Blvd, San Jose, CA",-121.9423322,37.3232601,"-121.9423322, 37.3232601","37.3232601, -121.9423322",,San Jose,California,,,,1979 San Jose City Directory,,,,
Deutch Co,"549 Stockton Ave, San Jose, CA",-121.910859,37.338187,"-121.910859, 37.338187","37.338187, -121.910859",,San Jose,California,,,,1966 San Jose City Directory,,,,
Diasonics,1235 Bordeaux Dr.,-122.022819,37.410801,"-122.022819, 37.410801","37.410801, -122.022819",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
DIASONICS,1545 BARBER LANE,-121.9108,37.407716,"-121.9108, 37.407716","37.407716, -121.9108",95035,Milpitas,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Diehl Electric Supply,"615 Stockton Ave, San Jose, CA",-121.9119408,37.33917825,"-121.911940807736, 37.339178250041","37.339178250041, -121.911940807736",,San Jose,California,,,,1959 San Jose City Directory,,,,
DIETZGEN,3185 DE LaCRUZ BLVD.,-121.940942,37.381489,"-121.940942, 37.381489","37.381489, -121.940942",95050,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Digicom Data Products Inc,"1440 Koll Ct, San Jose, CA",,,", ",", ",,San Jose,California,,,,1977 San Jose City Directory,,,,
Digimedics,"100 N. Winchester Blvd, San Jose, CA",-121.9503018,37.32722769,"-121.950301846154, 37.3272276923077","37.3272276923077, -121.950301846154",,San Jose,California,,,,1976 San Jose City Directory,,,,
DIGITAL EQUIPMENT CORP.,2525 AUGUSTINE DR.,-121.973496,37.382366,"-121.973496, 37.382366","37.382366, -121.973496",95051,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Diversified Data Systems Inc,"996 Minnesota Ave, San Jose, CA",-121.8949648,37.30493135,"-121.894964838793, 37.3049313498686","37.3049313498686, -121.894964838793",,San Jose,California,,,,1979 San Jose City Directory,,,,
Doban Laboratories Inc,"1112 W. Evelyn Ave, Sunnyvale, CA",-122.0498855,37.38484294,"-122.049885537489, 37.3848429360339","37.3848429360339, -122.049885537489",,Sunnyvale,California,,,,1964 Sunnyvale City Directory,,,,
DOHRMANN-ENVIROTECH,3240 SCOTT BLVD.,-121.970644,37.379431,"-121.970644, 37.379431","37.379431, -121.970644",95051,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Doverspike Associates,"100 N. Winchester Blvd, San Jose, CA",-121.9503018,37.32722769,"-121.950301846154, 37.3272276923077","37.3272276923077, -121.950301846154",,San Jose,California,,,,1977 San Jose City Directory,,,,
Drew Geo Sales Co,"5285 Alan Ave, San Jose, CA",-121.9080678,37.24223635,"-121.908067775653, 37.2422363496492","37.2422363496492, -121.908067775653",,San Jose,California,,,,1963 San Jose City Directory,,,,
Dunlap Electronics,"244 Race Street, San Jose, CA",-121.9113913,37.32487535,"-121.911391283203, 37.3248753512649","37.3248753512649, -121.911391283203",,San Jose,California,,,,1966 San Jose City Directory,,,,
Dura Bond,"3201 Ash St, Palo Alto, CA",-122.136709,37.422597,"-122.136709003212, 37.422597","37.422597, -122.136709003212",,Palo Alto,California,,,,,,,,
Dymec,"395 Page Mill Road, Palo Alto, CA",-122.1393686,37.4257063,"-122.1393686, 37.4257063","37.4257063, -122.1393686",,Palo Alto,California,,,,,,,,
Dynex Associates,"373 S. Daniel Way, San Jose, CA",-121.941207,37.32160705,"-121.941206991681, 37.3216070479967","37.3216070479967, -121.941206991681",,San Jose,California,,,,1971 San Jose City Directory,,,,
Eagle Picher Co,"1038 W. Evelyn Ave, Sunnyvale, CA",-122.0327178,37.37902,"-122.0327178, 37.37902","37.37902, -122.0327178",,Sunnyvale,California,,,,1964 Sunnyvale City Directory,,,,
Eastman Kodac Co.,"925 Page Mill Rd, Palo Alto, CA",-122.1434233,37.4187805,"-122.143423293266, 37.4187805","37.4187805, -122.143423293266",,Palo Alto,California,,,,,,,,
Eastman Kodack Processing Lab,"925 Page Mill Road, Palo Alto, CA",-122.1434233,37.4187805,"-122.143423293266, 37.4187805","37.4187805, -122.143423293266",,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,,,
Eastman Kodak Co.,925 Page Mill Rd.,-122.144927,37.419496,"-122.144927, 37.419496","37.419496, -122.144927",94304,Palo Alto,California,,,,Rich's Complete Guide to Silicon Valley,,,,
EATON CORP. / MACRODATA,1115 ARQUES AVE.,-121.999848,37.380498,"-121.999848, 37.380498","37.380498, -121.999848",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
EATON SEMICONDUCTOR,3500 GARRETT DR.,-121.985342,37.38221,"-121.985342, 37.38221","37.38221, -121.985342",95051,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Echo Corp,"809 San Antonio Road, Palo Alto, CA",-122.1022081,37.4206677,"-122.1022081, 37.4206677","37.4206677, -122.1022081",,Palo Alto,California,,,,,,,,
Egbert Engineering,"801 E. Charleston Road, Palo Alto, CA",-122.1049954,37.42241,"-122.104995395391, 37.42241","37.42241, -122.104995395391",,Palo Alto,California,,,,,,,,
Electrical Distributors Co,"320 Race, San Jose, CA",-121.9112613,37.32289349,"-121.911261313792, 37.3228934863283","37.3228934863283, -121.911261313792",,San Jose,,,,,1959 San Jose City Directory,,,,
Electrical Materials Corp,"810 San Antonio Rd, Palo Alto, CA",,,", ",", ",,Palo Alto,California,,,,,,,,
Electro Mechanical Research Inc,"505 W. Olive Ave, Sunnyvale, CA",-122.0381792,37.3724441,"-122.0381792, 37.3724441","37.3724441, -122.0381792",,Sunnyvale,,,,,1968 Sunnyvale City Directory,,,,
Electro Scientific Industries,"999 Commercial St, Palo Alto, CA",-122.0999304,37.425297,"-122.099930378289, 37.425297","37.425297, -122.099930378289",,Palo Alto,California,,,,,,,,
Electro Scientific Industries,,,,", ",", ",,,Oregon,,,,,,,,
Electromec Design and Development Co,"282 Brokaw Road, Santa Clara, CA",,,", ",", ",,Santa Clara,California,,,,1964 San Jose City Directory,,,,
Electronic Administrative Services Inc,"310 Porter Ave, San Jose, CA",,,", ",", ",,San Jose,California,,,,1963 San Jose City Directory,,,,
Electronic Arrays Inc.,555 Ellis St.,-122.05161,37.401636,"-122.05161, 37.401636","37.401636, -122.05161",94043,Mountain View,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Electronic Design & Development,"282 Brokaw Road, Santa Clara, CA",,,", ",", ",,Santa Clara,California,,,,1968 San Jose City Directory,,,,
Electronic Motive Manufacturing Company,"535 Middlefield Road, Palo Alto, CA",-122.1362592,37.4377862,"-122.1362592, 37.4377862","37.4377862, -122.1362592",,Palo Alto,California,,,,,,,,
Electronics Associate,"1786 Ledgewood Drive, San Jose, CA",-121.9155661,37.26316296,"-121.915566114686, 37.2631629649356","37.2631629649356, -121.915566114686",,San Jose,California,,,,1961 San Jose City Directory,,,,
Electronics Center,"1212 The Alameda, San Jose, CA",-121.9122845,37.33154063,"-121.912284514286, 37.3315406285714","37.3315406285714, -121.912284514286",,San Jose,California,,,,1962 San Jose City Directory,,,,
Electronics Western Co,"1415 The Alameda, San Jose, CA",-121.9142723,37.33332433,"-121.914272291667, 37.3333243333333","37.3333243333333, -121.914272291667",,San Jose,California,,,,1964 San Jose City Directory,,,,
Epson,,,,", ",", ",,,Oregon,,,,,,,,
ESL Inc.,"425 Tasman Ave, Sunnyvale, CA",,,", ",", ",,Sunnyvale,California,,,,,,,,
EXSIL,6540 VIA DEL ORO,-121.785671,37.236466,"-121.785671, 37.236466","37.236466, -121.785671",95119,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
EXSIL,6540 VIA DEL ORO,-121.785671,37.236466,"-121.785671, 37.236466","37.236466, -121.785671",95119,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
EXXON OFFICE SYSTEMS,3960 FREEDOM CIRCLE,-121.972124,37.386085,"-121.972124, 37.386085","37.386085, -121.972124",95054,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
F.M.C. CORP.,1185 COLEMAN AVE.,-121.932819,37.35675,"-121.932819, 37.35675","37.35675, -121.932819",95050,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Fairchild,3440 Hillview Ave.,-122.143956,37.397349,"-122.143956, 37.397349","37.397349, -122.143956",94304,Palo Alto,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Fairchild,4001 Miranda Ave.,-122.139755,37.401638,"-122.139755, 37.401638","37.401638, -122.139755",94304,Palo Alto,California,,,,Rich's Complete Guide to Silicon Valley,,,,
FAIRCHILD (SEMI…ONDUCTOR BLDG.),101 BERNAL RD.,-121.773443,37.230657,"-121.773443, 37.230657","37.230657, -121.773443",95119,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
FAIRCHILD (SEMI…ONDUCTOR BLDG.),101 BERNAL RD.,-121.773443,37.230657,"-121.773443, 37.230657","37.230657, -121.773443",95119,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
FAIRCHILD BIPOLAR DIV.,1801 McCARTHY BLVD.,-121.914706,37.401472,"-121.914706, 37.401472","37.401472, -121.914706",95035,Milpitas,California,,,,Rich's Complete Guide to Silicon Valley,,,,
FAIRCHILD CAMER… AND INSTRUMENT,1601 TECHNOLOGY DR.,-121.91579,37.36429,"-121.91579, 37.36429","37.36429, -121.91579",95110,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
FAIRCHILD CAMER… AND INSTRUMENT,1601 TECHNOLOGY DR.,-121.91579,37.36429,"-121.91579, 37.36429","37.36429, -121.91579",95110,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Fairchild Camera & Instru.,465 National Ave.,-122.053348,37.401324,"-122.053348, 37.401324","37.401324, -122.053348",94043,Mountain View,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Fairchild Indstrumentation and Systems Group,"1725 Technology Drive, San Jose, CA",-121.9188684,37.36757814,"-121.918868351169, 37.3675781368491","37.3675781368491, -121.918868351169",,,,,,,1977 San Jose City Directory,,,,
Fairchild Semi-Conductor Corp.,"4001 Miranda Ave, Palo Alto, CA",-122.1305947,37.3946145,"-122.1305947, 37.3946145","37.3946145, -122.1305947",,Palo Alto,California,,,,,,,,
Fairchild Semiconductor Corp,"884 Charleston Rd, Palo Alto, CA",,,", ",", ",,Palo Alto,California,,,,,,,,
Fairchild Semiconductor Corp,"378 Cambridge Road, Palo Alto, CA",,,", ",", ",,Palo Alto,California,,,,,,,,
Fairchild Semiconductor Corp.,"464 Ellis St, Mountain View, CA",-122.0523834,37.39999735,"-122.052383387666, 37.3999973546245","37.3999973546245, -122.052383387666",,Mountain View,California,,,,,,,,
FAIRCHILD TEST SYS. GROUP,1725 TECHNOLOGY DR.,-121.916893,37.365079,"-121.916893, 37.365079","37.365079, -121.916893",95110,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
FAIRCHILD TEST SYS. GROUP,1725 TECHNOLOGY DR.,-121.916893,37.365079,"-121.916893, 37.365079","37.365079, -121.916893",95110,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
FAIRCHILD-CMOS/LIC,3105 ALFRED ST.,-121.958591,37.378312,"-121.958591, 37.378312","37.378312, -121.958591",95051,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
FAIRCHILD-MICROPROCESSOR DIV.,3420 CENTRAL EXP.,-121.991825,37.377572,"-121.991825, 37.377572","37.377572, -121.991825",95051,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Farnsworth Electronic Co,"815 San Antonio Road, Palo Alto, CA",-122.1023803,37.420688,"-122.102380297532, 37.420688","37.420688, -122.102380297532",,Palo Alto,California,,,,,,,,
FEDERAL PACIFIC ELEC. CO.,1200 PIPER DR .,-121.891463,37.411462,"-121.891463, 37.411462","37.411462, -121.891463",95035,Milpitas,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Federal Pacific Electric Co,"333 Brokaw Road, Santa Clara, CA",,,", ",", ",,Santa Clara,,,,,1960 San Jose City Directory,,,,
FERIX,611 VAQUEROS AVE.,-122.032129,37.39326,"-122.032129, 37.39326","37.39326, -122.032129",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Filtron Co,"926 Industrial, Palo Alto, CA",-122.0980412,37.4228683,"-122.0980412, 37.4228683","37.4228683, -122.0980412",,Palo Alto,California,,,,,,,,
FISHER SWITCHES INC.,3381 EDWARD AVE.,-121.941609,37.385874,"-121.941609, 37.385874","37.385874, -121.941609",95050,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Flasher Co,"878 N. 10th St, San Jose, CA",-121.8954493,37.3600392,"-121.8954493, 37.3600392","37.3600392, -121.8954493",,,,,,,1968 San Jose City Directory,,,,
Floating Point Systems,,,,", ",", ",,,Oregon,,,,,,,,
FMC Central and Engineering Laboratories,"1185 Coleman Ave, Santa Clara, CA",-121.9305479,37.35559915,"-121.930547868027, 37.355599153677","37.355599153677, -121.930547868027",,,,,,,1965 San Jose City Directory,,,,
FMC CORP.,1115 COLEMAN AVE.,-121.923709,37.352274,"-121.923709, 37.352274","37.352274, -121.923709",95110,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
FMC CORP.,1115 COLEMAN AVE.,-121.923709,37.352274,"-121.923709, 37.352274","37.352274, -121.923709",95110,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
FMC CORP.,1830 BERING DR.,-121.911912,37.373148,"-121.911912, 37.373148","37.373148, -121.911912",95112,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
FMC CORP.,245 CHARCOT AVE.,-121.918085,37.380458,"-121.918085, 37.380458","37.380458, -121.918085",95131,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Ford Aerospace …mp; Comm. Corp.,1260 Crossman Ave.,-122.010381,37.410339,"-122.010381, 37.410339","37.410339, -122.010381",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
FOUR PHASE SYSTEMS INC.,2200 MARTH; AVE.,-121.948812,37.345983,"-121.948812, 37.345983","37.345983, -121.948812",95050,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
FOUR-PHASE SYSTEMS I NC.,10500 N. De ANZA BLVD.,-122.032192,37.328867,"-122.032192, 37.328867","37.328867, -122.032192",95014,Cupertino,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Franklin Manufacturing,"437 Crescent Ave, Sunnyvale, CA",-122.0291012,37.3561883,"-122.0291012, 37.3561883","37.3561883, -122.0291012",,,,,,,1966 Sunnyvale City Directory,,,,
Franzen Jake Co,"1962 Lafayette, Santa Clara, CA",-121.948076,37.35973327,"-121.948075956715, 37.3597332665026","37.3597332665026, -121.948075956715",,Santa Clara,,,,,1960 San Jose City Directory,,,,
FXR Inc,"701 Welch Road, Palo Alto, CA",-122.172683,37.436904,"-122.172683, 37.436904","37.436904, -122.172683",,Palo Alto,California,,,,,,,,
G.E. Traveling Tube Division,"601 S. California Ave, Palo Alto, CA",-122.1458943,37.42327187,"-122.145894320475, 37.423271872748","37.423271872748, -122.145894320475",,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,,,
G.S. TEMPRESS,1510 DELL AVE.,-121.956119,37.264462,"-121.956119, 37.264462","37.264462, -121.956119",95008,Campbell,California,,,,Rich's Complete Guide to Silicon Valley,,,,
G.T.E. Fibre Optics,1395 Charleston Rd.,-122.077096,37.420443,"-122.077096, 37.420443","37.420443, -122.077096",94043,Mountain View,California,,,,Rich's Complete Guide to Silicon Valley,,,,
G.T.E. Sylvania,100 Ferguson Dr.,-122.057415,37.388228,"-122.057415, 37.388228","37.388228, -122.057415",94043,Mountain View,California,,,,Rich's Complete Guide to Silicon Valley,,,,
G.T.E. Sylvania,685 E. Middlefield Rd.,-122.051413,37.394029,"-122.051413, 37.394029","37.394029, -122.051413",94043,Mountain View,California,,,,Rich's Complete Guide to Silicon Valley,,,,
GCA CORP.,3570 RYDER ST.,-121.994859,37.376342,"-121.994859, 37.376342","37.376342, -121.994859",95051,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
GCA IC SYSTEMS,1050 KIFER RD.,-122.002629,37.373871,"-122.002629, 37.373871","37.373871, -122.002629",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
GCA IC SYSTEMS,720 PALOMAR AVE .,-122.034233,37.395885,"-122.034233, 37.395885","37.395885, -122.034233",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Geist WK CO,"7258 Bark Lane, San Jose, CA",-122.0315237,37.30293506,"-122.031523697026, 37.3029350555584","37.3029350555584, -122.031523697026",,,,,,,1965 San Jose City Directory,,,,
General Capacitor Co,"755 Loma Verde Ave, Palo Alto, CA",-122.1222506,37.4305506,"-122.1222506, 37.4305506","37.4305506, -122.1222506",,,,,,,,,,,
GENERAL DEVICES INC.,2355 DE LaCRUZ BLVD.,-121.941451,37.364151,"-121.941451, 37.364151","37.364151, -121.941451",95050,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
General Elec. Co./Space Div.,1277 Orleans Dr.,-122.00728,37.409789,"-122.00728, 37.409789","37.409789, -122.00728",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
General Electric Atomic Products Division,"701 University Ave, Palo Alto, CA",-122.156775,37.450858,"-122.156775, 37.450858","37.450858, -122.156775",,Palo Alto,California,,,,,,,,
General Electric Co,"460 Park Ave, San Jose, CA",-121.898011,37.327935,"-121.898011, 37.327935","37.327935, -121.898011",,,,,,,1959 San Jose City Directory,,,,
General Electric Co,"2515 First, San Jose, CA",-121.9277152,37.38580069,"-121.927715171875, 37.3858006875","37.3858006875, -121.927715171875",,,,,,,1960 San Jose City Directory,,,,
General Electric Co (Advanced Space Project Departments),"355 W. Olive Ave, Sunnyvale, CA",-122.0349815,37.3716807,"-122.03498145, 37.3716807","37.3716807, -122.03498145",,,,,,,1964 Sunnyvale City Directory,,,,
GENERAL ELECTRIC CO.,310 DE GUIGNE DR.,-122.007233,37.381184,"-122.007233, 37.381184","37.381184, -122.007233",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
GENERAL ELECTRIC CO.,2155 S. 1ST ST.,-121.873859,37.31644,"-121.873859, 37.31644","37.31644, -121.873859",95112,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
GENERAL ELECTRIC CO.,2155 S. 1ST ST.,-121.873859,37.31644,"-121.873859, 37.31644","37.31644, -121.873859",95112,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
General Electric Powertabe and Microwave Department,"601 California Ave, Palo Alto, CA",-122.1430031,37.4285379,"-122.1430031, 37.4285379","37.4285379, -122.1430031",,Palo Alto,California,,,,,,,,
General Instrument Corp,3400 Hillview Ave.,-122.146002,37.403466,"-122.146002, 37.403466","37.403466, -122.146002",94304,Palo Alto,California,,,,Rich's Complete Guide to Silicon Valley,,,,
General Programming,"2000 W. Hedding St, San Jose, CA",-121.934597,37.33182,"-121.934597, 37.33182","37.33182, -121.934597",,,,,,,1977 San Jose City Directory,,,,
GENERAL TECHNOLOGY CORP.,1028 W. MAUDE AVE.,-122.043315,37.393885,"-122.043315, 37.393885","37.393885, -122.043315",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
General Transducer,"3551 Thomas Road, Santa Clara, CA",-121.9605159,37.38660287,"-121.960515861758, 37.3866028704205","37.3866028704205, -121.960515861758",,,,,,,1965 San Jose City Directory,,,,
GENRAD INC.,2855 BOWERS AVE.,-121.977604,37.373101,"-121.977604, 37.373101","37.373101, -121.977604",95051,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Geraco Engineering,"1112 Ramona St, Palo Alto, CA",-122.1544862,37.44016735,"-122.1544862, 37.44016735","37.44016735, -122.1544862",,Palo Alto,California,,,,,,,,
Gianni Controls Corp,"271 Town & Country Road, Palo Alto, CA",1.8774979,7.7227067,"1.8774979, 7.7227067","7.7227067, 1.8774979",,Palo Alto,California,,,,,,,,
Ginn & Co.,"2550 Hanover Street, Palo Alto, CA",-122.1495455,37.4180825,"-122.149545519769, 37.4180825","37.4180825, -122.149545519769",,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,,,
Gould -- S.E.L. Computer Sys.,1289 Anvilwood Ave.,-121.993788,37.408698,"-121.993788, 37.408698","37.408698, -121.993788",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
GOULD DeA ZA IM… & GRAPHICS,1870 LUNDY AVE.,-121.889915,37.392046,"-121.889915, 37.392046","37.392046, -121.889915",95131,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
GOULD INC.,3211-7A SCOTT BLVD.,-121.983478,37.346518,"-121.983478, 37.346518","37.346518, -121.983478",95051,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
GOULD INC/BIOMATION DIV.,4600 OLD IRONSIDES DR .,-121.979537,37.396334,"-121.979537, 37.396334","37.396334, -121.979537",95014,Cupertino,California,,,,Rich's Complete Guide to Silicon Valley,,,,
GP Systems,"2325 Paragon Drive, San Jose, CA",-121.9090306,37.39156506,"-121.909030641963, 37.3915650626222","37.3915650626222, -121.909030641963",,,,,,,1979 San Jose City Directory,,,,
Granger Associates,"974 Commercial, Palo Alto, CA",-122.0996485,37.424214,"-122.0996485, 37.424214","37.424214, -122.0996485",,Palo Alto,California,,,,,,,,
